Year,Month,Day of the Week,Hour,Location Type,Status,Day Part
2015,May,Friday,11,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,May,Saturday,20,"Streets, Roads, Highways",Stolen,Evening
2015,May,Tuesday,8,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,May,Friday,17,Parking Lots,Stolen,Afternoon
2015,May,Saturday,16,Parking Lots,Stolen,Afternoon
2015,May,Saturday,1,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Overnight
2015,May,Saturday,16,Parking Lots,Stolen,Afternoon
2015,April,Monday,23,Other Non Commercial / Corporate Places,Stolen,Evening
2014,May,Saturday,15,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,June,Monday,9,"Streets, Roads, Highways",Stolen,Morning
2015,May,Monday,15,Other Non Commercial / Corporate Places,Stolen,Afternoon
2015,May,Sunday,22,"Single Home, House",Stolen,Evening
2015,May,Thursday,17,"Streets, Roads, Highways",Stolen,Afternoon
2015,May,Thursday,19,Universities / Colleges,Stolen,Evening
2015,May,Sunday,8,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,May,Friday,14,Schools During Un-Supervised Activity,Stolen,Afternoon
2015,May,Sunday,17,Private Property Structure,Stolen,Afternoon
2015,June,Monday,8,"Single Home, House",Stolen,Morning
2015,May,Sunday,22,"Single Home, House",Stolen,Evening
2015,May,Sunday,17,Private Property Structure,Stolen,Afternoon
2015,May,Friday,23,Private Property Structure,Stolen,Evening
2015,May,Sunday,21,Universities / Colleges,Stolen,Evening
2015,May,Saturday,19,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
2015,May,Friday,19,Schools During Un-Supervised Activity,Stolen,Evening
2015,June,Monday,9,"Single Home, House",Stolen,Morning
2015,June,Monday,21,Private Property Structure,Stolen,Evening
2015,June,Monday,21,Private Property Structure,Stolen,Evening
2014,December,Tuesday,22,"Single Home, House",Stolen,Evening
2015,June,Monday,9,Universities / Colleges,Stolen,Morning
2014,December,Tuesday,22,"Single Home, House",Stolen,Evening
2015,June,Tuesday,13,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Tuesday,8,Schools During Un-Supervised Activity,Stolen,Morning
2015,June,Monday,7,Apartment,Stolen,Morning
2015,June,Tuesday,11,Bar / Restaurant,Stolen,Morning
2015,May,Thursday,17,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Monday,10,"Streets, Roads, Highways",Stolen,Morning
2015,June,Tuesday,17,"Streets, Roads, Highways",Stolen,Afternoon
2015,May,Friday,18,Parking Lots,Stolen,Evening
2015,June,Wednesday,8,"Streets, Roads, Highways",Stolen,Morning
2015,June,Tuesday,23,"Single Home, House",Stolen,Evening
2015,May,Saturday,21,Apartment,Stolen,Evening
2015,June,Wednesday,9,Bar / Restaurant,Stolen,Morning
2015,June,Tuesday,16,Apartment,Stolen,Afternoon
2015,May,Tuesday,14,Universities / Colleges,Stolen,Afternoon
2015,June,Wednesday,7,"Streets, Roads, Highways",Stolen,Morning
2015,June,Wednesday,13,"Streets, Roads, Highways",Recovered,Afternoon
2015,June,Tuesday,13,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Wednesday,14,Hospital / Institutions / Medical Facilities,Stolen,Afternoon
2015,June,Wednesday,9,Parking Lots,Stolen,Morning
2015,June,Tuesday,19,"Single Home, House",Stolen,Evening
2015,June,Wednesday,8,Open Areas,Unknown,Morning
2015,June,Tuesday,23,"Single Home, House",Stolen,Evening
2015,June,Tuesday,8,Universities / Colleges,Stolen,Morning
2015,June,Tuesday,19,"Single Home, House",Stolen,Evening
2015,May,Sunday,9,Apartment,Stolen,Morning
2015,June,Wednesday,22,"Streets, Roads, Highways",Stolen,Evening
2015,June,Thursday,15,Schools During Un-Supervised Activity,Stolen,Afternoon
2015,June,Thursday,15,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,May,Sunday,18,"Single Home, House",Stolen,Evening
2015,June,Thursday,19,Parking Lots,Stolen,Evening
2015,May,Wednesday,8,Ttc Subway Station,Stolen,Morning
2015,June,Thursday,9,Ttc Subway Station,Stolen,Morning
2015,June,Thursday,17,"Streets, Roads, Highways",Stolen,Afternoon
2015,May,Sunday,17,Apartment,Stolen,Afternoon
2015,June,Wednesday,21,"Streets, Roads, Highways",Stolen,Evening
2015,June,Thursday,14,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Thursday,10,Open Areas,Stolen,Morning
2015,June,Thursday,9,Apartment,Stolen,Morning
2015,June,Monday,15,Apartment,Stolen,Afternoon
2015,May,Sunday,18,"Single Home, House",Stolen,Evening
2015,June,Wednesday,18,"Streets, Roads, Highways",Stolen,Evening
2015,June,Wednesday,11,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,June,Thursday,9,"Streets, Roads, Highways",Stolen,Morning
2015,June,Friday,19,Apartment,Stolen,Evening
2015,May,Friday,17,Parking Lots,Stolen,Afternoon
2015,June,Thursday,18,Apartment,Stolen,Evening
2015,May,Saturday,12,Private Property Structure,Stolen,Afternoon
2015,May,Sunday,13,Apartment,Stolen,Afternoon
2015,April,Wednesday,15,"Single Home, House",Stolen,Afternoon
2015,June,Thursday,23,"Single Home, House",Stolen,Evening
2015,April,Wednesday,15,"Single Home, House",Stolen,Afternoon
2015,June,Tuesday,22,Apartment,Stolen,Evening
2015,June,Friday,22,"Single Home, House",Stolen,Evening
2014,November,Monday,12,"Streets, Roads, Highways",Stolen,Afternoon
2015,May,Monday,22,"Single Home, House",Stolen,Evening
2014,November,Monday,12,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Friday,22,"Single Home, House",Stolen,Evening
2015,June,Saturday,13,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Saturday,17,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Saturday,12,Private Property Structure,Stolen,Afternoon
2015,May,Tuesday,23,"Single Home, House",Stolen,Evening
2015,June,Friday,10,Schools During Un-Supervised Activity,Stolen,Morning
2015,June,Saturday,11,"Streets, Roads, Highways",Stolen,Morning
2015,May,Saturday,16,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,May,Saturday,4,"Streets, Roads, Highways",Stolen,Overnight
2015,May,Thursday,19,"Single Home, House",Stolen,Evening
2015,June,Saturday,17,"Single Home, House",Stolen,Afternoon
2015,June,Sunday,12,"Single Home, House",Unknown,Afternoon
2015,June,Sunday,11,Parking Lots,Stolen,Morning
2015,June,Sunday,17,Private Property Structure,Stolen,Afternoon
2015,June,Friday,21,"Streets, Roads, Highways",Stolen,Evening
2015,April,Friday,18,Private Property Structure,Stolen,Evening
2015,June,Sunday,17,Private Property Structure,Stolen,Afternoon
2015,June,Friday,14,Open Areas,Stolen,Afternoon
2015,April,Friday,18,Private Property Structure,Stolen,Evening
2015,June,Monday,3,"Streets, Roads, Highways",Stolen,Overnight
2015,June,Monday,18,"Single Home, House",Unknown,Evening
2015,June,Monday,4,Apartment,Stolen,Overnight
2015,June,Saturday,16,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,June,Friday,17,Apartment,Stolen,Afternoon
2015,June,Friday,8,Hospital / Institutions / Medical Facilities,Stolen,Morning
2015,June,Monday,18,"Streets, Roads, Highways",Stolen,Evening
2015,June,Friday,17,Universities / Colleges,Stolen,Afternoon
2015,June,Friday,20,Private Property Structure,Stolen,Evening
2015,May,Wednesday,7,"Single Home, House",Stolen,Morning
2015,June,Monday,10,Universities / Colleges,Stolen,Morning
2015,June,Friday,15,Universities / Colleges,Stolen,Afternoon
2015,June,Saturday,23,"Streets, Roads, Highways",Stolen,Evening
2015,June,Sunday,17,"Streets, Roads, Highways",Stolen,Afternoon
2015,May,Friday,9,"Streets, Roads, Highways",Stolen,Morning
2015,June,Tuesday,12,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Tuesday,20,Apartment,Stolen,Evening
2015,June,Monday,17,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Sunday,7,Apartment,Stolen,Morning
2015,May,Wednesday,14,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,June,Tuesday,4,"Single Home, House",Stolen,Overnight
2015,June,Friday,22,"Single Home, House",Stolen,Evening
2015,June,Tuesday,7,Other Non Commercial / Corporate Places,Stolen,Morning
2015,June,Friday,22,Parking Lots,Stolen,Evening
2015,June,Monday,14,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Tuesday,16,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,June,Thursday,13,Private Property Structure,Stolen,Afternoon
2015,June,Tuesday,8,"Streets, Roads, Highways",Stolen,Morning
2015,June,Tuesday,21,Parking Lots,Stolen,Evening
2015,June,Monday,22,Universities / Colleges,Stolen,Evening
2015,June,Tuesday,1,Parking Lots,Stolen,Overnight
2015,June,Friday,22,"Single Home, House",Stolen,Evening
2015,June,Monday,14,Universities / Colleges,Stolen,Afternoon
2015,May,Thursday,13,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,June,Thursday,13,Private Property Structure,Stolen,Afternoon
2015,June,Wednesday,8,"Streets, Roads, Highways",Stolen,Morning
2015,June,Tuesday,8,"Streets, Roads, Highways",Stolen,Morning
2015,June,Saturday,23,"Single Home, House",Stolen,Evening
2015,June,Wednesday,1,"Single Home, House",Stolen,Overnight
2015,June,Tuesday,1,Parking Lots,Stolen,Overnight
2015,June,Tuesday,8,"Streets, Roads, Highways",Stolen,Morning
2015,May,Thursday,13,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Friday,14,Go Station,Stolen,Afternoon
2015,May,Monday,7,"Single Home, House",Stolen,Morning
2015,June,Sunday,14,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Saturday,22,"Streets, Roads, Highways",Stolen,Evening
2015,June,Wednesday,19,"Streets, Roads, Highways",Stolen,Evening
2015,June,Thursday,12,Apartment,Stolen,Afternoon
2015,June,Tuesday,9,"Streets, Roads, Highways",Stolen,Morning
2015,June,Friday,15,Apartment,Stolen,Afternoon
2015,June,Thursday,15,Parking Lots,Stolen,Afternoon
2015,June,Wednesday,17,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Monday,12,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,June,Monday,21,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
2015,June,Thursday,18,"Streets, Roads, Highways",Stolen,Evening
2015,June,Thursday,16,Private Property Structure,Stolen,Afternoon
2015,June,Friday,19,Private Property Structure,Stolen,Evening
2015,May,Friday,14,Open Areas,Unknown,Afternoon
2015,June,Thursday,16,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Thursday,20,"Streets, Roads, Highways",Stolen,Evening
2015,June,Monday,12,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,June,Friday,8,Other Non Commercial / Corporate Places,Stolen,Morning
2015,June,Friday,13,Ttc Subway Station,Stolen,Afternoon
2015,June,Wednesday,16,Go Station,Stolen,Afternoon
2015,June,Saturday,14,Private Property Structure,Stolen,Afternoon
2015,June,Saturday,19,Bar / Restaurant,Stolen,Evening
2015,June,Thursday,18,Private Property Structure,Stolen,Evening
2015,June,Saturday,18,"Single Home, House",Recovered,Evening
2015,June,Sunday,19,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
2015,June,Monday,16,Go Station,Stolen,Afternoon
2015,June,Friday,8,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,June,Saturday,20,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
2015,June,Saturday,20,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
2015,June,Saturday,12,"Single Home, House",Stolen,Afternoon
2015,June,Saturday,13,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Friday,12,"Single Home, House",Stolen,Afternoon
2015,June,Saturday,14,Apartment,Stolen,Afternoon
2015,June,Friday,11,Private Property Structure,Recovered,Morning
2015,June,Wednesday,20,Private Property Structure,Stolen,Evening
2015,June,Wednesday,20,Private Property Structure,Stolen,Evening
2015,June,Thursday,7,Go Station,Stolen,Morning
2015,June,Friday,23,"Single Home, House",Stolen,Evening
2015,June,Saturday,8,Apartment,Stolen,Morning
2015,June,Wednesday,20,Private Property Structure,Stolen,Evening
2015,June,Saturday,20,Bar / Restaurant,Stolen,Evening
2015,June,Saturday,19,"Single Home, House",Stolen,Evening
2015,June,Sunday,8,"Single Home, House",Stolen,Morning
2015,June,Saturday,23,Apartment,Stolen,Evening
2015,June,Sunday,19,Apartment,Stolen,Evening
2015,June,Saturday,23,Apartment,Stolen,Evening
2015,June,Saturday,17,"Single Home, House",Stolen,Afternoon
2015,June,Friday,22,Apartment,Stolen,Evening
2015,June,Saturday,14,Bar / Restaurant,Stolen,Afternoon
2015,June,Sunday,12,Private Property Structure,Stolen,Afternoon
2015,June,Saturday,10,Private Property Structure,Stolen,Morning
2015,June,Monday,10,Go Station,Stolen,Morning
2015,June,Sunday,18,Apartment,Stolen,Evening
2015,June,Saturday,10,Private Property Structure,Stolen,Morning
2015,June,Monday,20,Private Property Structure,Stolen,Evening
2015,June,Saturday,21,Parking Lots,Stolen,Evening
2015,June,Sunday,23,Apartment,Stolen,Evening
2015,June,Monday,14,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Monday,9,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,June,Wednesday,17,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,June,Monday,18,Apartment,Stolen,Evening
2015,June,Monday,8,Apartment,Stolen,Morning
2015,June,Monday,16,"Single Home, House",Stolen,Afternoon
2015,June,Sunday,18,Apartment,Stolen,Evening
2015,June,Monday,18,Private Property Structure,Stolen,Evening
2015,June,Sunday,8,Parking Lots,Stolen,Morning
2015,June,Monday,20,Private Property Structure,Stolen,Evening
2015,June,Monday,6,Commercial Dwelling Unit,Stolen,Morning
2015,June,Sunday,16,"Streets, Roads, Highways",Stolen,Afternoon
2015,May,Wednesday,16,Apartment,Stolen,Afternoon
2015,June,Sunday,12,Parking Lots,Stolen,Afternoon
2015,June,Sunday,9,"Streets, Roads, Highways",Stolen,Morning
2015,June,Tuesday,19,Apartment,Stolen,Evening
2015,June,Thursday,17,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Monday,22,"Single Home, House",Stolen,Evening
2015,June,Friday,23,Apartment,Stolen,Evening
2015,June,Tuesday,12,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Monday,22,"Single Home, House",Stolen,Evening
2015,June,Saturday,10,Parking Lots,Stolen,Morning
2015,June,Wednesday,18,Parking Lots,Stolen,Evening
2015,June,Wednesday,12,"Single Home, House",Stolen,Afternoon
2015,June,Wednesday,23,Schools During Un-Supervised Activity,Stolen,Evening
2015,June,Thursday,5,Parking Lots,Stolen,Overnight
2015,June,Wednesday,8,Schools During Supervised Activity,Stolen,Morning
2015,June,Tuesday,20,Parking Lots,Stolen,Evening
2015,June,Tuesday,20,"Single Home, House",Stolen,Evening
2015,June,Wednesday,10,Parking Lots,Stolen,Morning
2015,June,Wednesday,13,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,June,Tuesday,22,Parking Lots,Stolen,Evening
2015,June,Wednesday,2,"Single Home, House",Stolen,Overnight
2015,June,Tuesday,17,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,June,Saturday,9,Parking Lots,Stolen,Morning
2015,June,Tuesday,8,"Streets, Roads, Highways",Stolen,Morning
2015,June,Tuesday,22,Apartment,Stolen,Evening
2015,June,Wednesday,6,Parking Lots,Stolen,Morning
2015,June,Thursday,19,Apartment,Stolen,Evening
2015,June,Thursday,13,Apartment,Stolen,Afternoon
2015,June,Wednesday,9,"Streets, Roads, Highways",Stolen,Morning
2015,June,Thursday,10,"Streets, Roads, Highways",Stolen,Morning
2015,June,Wednesday,8,Parking Lots,Stolen,Morning
2015,June,Wednesday,20,"Streets, Roads, Highways",Stolen,Evening
2015,June,Wednesday,21,"Streets, Roads, Highways",Stolen,Evening
2015,June,Tuesday,18,Apartment,Stolen,Evening
2015,June,Wednesday,23,"Single Home, House",Stolen,Evening
2015,June,Thursday,9,"Streets, Roads, Highways",Stolen,Morning
2015,June,Thursday,11,"Streets, Roads, Highways",Stolen,Morning
2015,June,Sunday,18,Apartment,Stolen,Evening
2015,June,Thursday,15,Commercial Dwelling Unit,Stolen,Afternoon
2015,June,Wednesday,10,Parking Lots,Stolen,Morning
2015,June,Wednesday,19,Apartment,Stolen,Evening
2015,June,Wednesday,21,"Streets, Roads, Highways",Stolen,Evening
2015,June,Tuesday,9,Parking Lots,Stolen,Morning
2015,June,Thursday,21,"Single Home, House",Stolen,Evening
2015,June,Tuesday,20,Parking Lots,Stolen,Evening
2015,June,Wednesday,13,Hospital / Institutions / Medical Facilities,Stolen,Afternoon
2015,June,Friday,8,"Streets, Roads, Highways",Stolen,Morning
2015,June,Thursday,15,Unknown,Stolen,Afternoon
2015,June,Friday,8,"Streets, Roads, Highways",Stolen,Morning
2015,June,Friday,13,"Single Home, House",Stolen,Afternoon
2015,June,Monday,22,"Single Home, House",Stolen,Evening
2015,June,Friday,13,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,June,Thursday,15,Open Areas,Stolen,Afternoon
2015,June,Thursday,11,"Streets, Roads, Highways",Stolen,Morning
2015,June,Friday,18,Parking Lots,Stolen,Evening
2015,June,Tuesday,8,Schools During Un-Supervised Activity,Stolen,Morning
2015,June,Tuesday,8,Schools During Un-Supervised Activity,Stolen,Morning
2015,June,Saturday,18,Parking Lots,Stolen,Evening
2015,June,Saturday,16,Private Property Structure,Stolen,Afternoon
2015,June,Saturday,12,Apartment,Stolen,Afternoon
2015,June,Thursday,21,Apartment,Stolen,Evening
2015,June,Friday,23,"Streets, Roads, Highways",Stolen,Evening
2015,June,Friday,7,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,June,Saturday,22,"Streets, Roads, Highways",Stolen,Evening
2015,June,Sunday,18,"Streets, Roads, Highways",Stolen,Evening
2015,June,Saturday,16,Private Property Structure,Stolen,Afternoon
2015,June,Sunday,10,"Streets, Roads, Highways",Stolen,Morning
2015,June,Friday,11,Private Property Structure,Stolen,Morning
2015,June,Friday,14,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Sunday,15,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Saturday,22,Apartment,Stolen,Evening
2015,June,Saturday,15,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,June,Sunday,22,"Streets, Roads, Highways",Unknown,Evening
2015,June,Friday,17,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,June,Sunday,1,"Single Home, House",Stolen,Overnight
2015,June,Monday,8,"Streets, Roads, Highways",Stolen,Morning
2015,June,Monday,6,Apartment,Stolen,Morning
2015,June,Friday,16,Private Property Structure,Unknown,Afternoon
2015,June,Sunday,17,Private Property Structure,Stolen,Afternoon
2015,June,Saturday,18,Private Property Structure,Stolen,Evening
2015,June,Monday,10,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,June,Friday,16,Private Property Structure,Stolen,Afternoon
2015,June,Monday,9,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,June,Sunday,23,"Single Home, House",Stolen,Evening
2015,June,Monday,15,Parking Lots,Stolen,Afternoon
2015,June,Sunday,23,"Single Home, House",Stolen,Evening
2015,June,Monday,9,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,June,Sunday,10,Apartment,Stolen,Morning
2015,June,Saturday,8,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,June,Sunday,22,Parking Lots,Stolen,Evening
2015,June,Sunday,18,"Streets, Roads, Highways",Stolen,Evening
2015,June,Sunday,11,Parking Lots,Stolen,Morning
2015,June,Monday,14,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Thursday,15,Parking Lots,Stolen,Afternoon
2015,May,Tuesday,18,"Streets, Roads, Highways",Stolen,Evening
2015,June,Thursday,21,"Single Home, House",Stolen,Evening
2015,May,Tuesday,18,"Streets, Roads, Highways",Stolen,Evening
2015,June,Tuesday,8,Homeless Shelter / Mission,Stolen,Morning
2015,June,Thursday,21,"Single Home, House",Stolen,Evening
2015,June,Tuesday,14,Retirement Home,Stolen,Afternoon
2015,June,Tuesday,8,"Single Home, House",Stolen,Morning
2015,June,Tuesday,13,Universities / Colleges,Stolen,Afternoon
2015,June,Tuesday,15,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Friday,21,"Single Home, House",Stolen,Evening
2015,June,Tuesday,17,Private Property Structure,Stolen,Afternoon
2015,June,Tuesday,18,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
2015,June,Tuesday,21,"Single Home, House",Stolen,Evening
2015,June,Monday,13,Hospital / Institutions / Medical Facilities,Stolen,Afternoon
2015,June,Friday,16,"Single Home, House",Stolen,Afternoon
2015,June,Monday,20,"Streets, Roads, Highways",Stolen,Evening
2015,June,Sunday,18,"Single Home, House",Stolen,Evening
2015,June,Tuesday,18,Other Non Commercial / Corporate Places,Stolen,Evening
2015,June,Saturday,14,"Single Home, House",Stolen,Afternoon
2015,June,Saturday,14,"Single Home, House",Stolen,Afternoon
2015,June,Thursday,8,Parking Lots,Stolen,Morning
2015,June,Wednesday,20,"Single Home, House",Stolen,Evening
2015,June,Monday,20,Group Homes,Stolen,Evening
2015,June,Sunday,16,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Tuesday,19,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
2015,June,Monday,7,"Streets, Roads, Highways",Stolen,Morning
2015,June,Wednesday,15,Open Areas,Stolen,Afternoon
2015,June,Sunday,9,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,June,Wednesday,14,Schools During Un-Supervised Activity,Stolen,Afternoon
2015,June,Wednesday,14,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Monday,10,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,June,Monday,10,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,June,Wednesday,22,"Streets, Roads, Highways",Stolen,Evening
2015,June,Wednesday,3,"Streets, Roads, Highways",Unknown,Overnight
2015,June,Tuesday,19,"Streets, Roads, Highways",Stolen,Evening
2015,June,Wednesday,15,Open Areas,Stolen,Afternoon
2015,June,Monday,22,"Single Home, House",Stolen,Evening
2015,June,Tuesday,20,Schools During Un-Supervised Activity,Stolen,Evening
2015,June,Wednesday,12,Private Property Structure,Stolen,Afternoon
2015,June,Thursday,14,Other Non Commercial / Corporate Places,Stolen,Afternoon
2015,June,Wednesday,21,Parking Lots,Stolen,Evening
2015,June,Thursday,15,Private Property Structure,Recovered,Afternoon
2015,June,Thursday,19,Apartment,Stolen,Evening
2015,June,Friday,11,Ttc Subway Station,Stolen,Morning
2015,June,Friday,15,Other Non Commercial / Corporate Places,Stolen,Afternoon
2015,June,Wednesday,9,Construction Site,Stolen,Morning
2015,June,Thursday,9,Universities / Colleges,Stolen,Morning
2015,June,Wednesday,16,"Single Home, House",Stolen,Afternoon
2015,June,Thursday,13,"Single Home, House",Stolen,Afternoon
2015,June,Thursday,6,Bank And Other Financial Institutions,Stolen,Morning
2015,June,Thursday,9,Apartment,Unknown,Morning
2015,June,Friday,22,"Single Home, House",Stolen,Evening
2015,June,Thursday,9,Open Areas,Stolen,Morning
2015,June,Thursday,19,Apartment,Stolen,Evening
2015,June,Friday,19,Open Areas,Stolen,Evening
2015,June,Friday,7,Apartment,Stolen,Morning
2015,June,Friday,7,Apartment,Stolen,Morning
2015,June,Friday,14,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Friday,11,"Streets, Roads, Highways",Stolen,Morning
2015,June,Friday,19,Open Areas,Stolen,Evening
2015,June,Friday,14,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Friday,3,Parking Lots,Recovered,Overnight
2015,June,Friday,1,"Single Home, House",Stolen,Overnight
2015,June,Sunday,17,Universities / Colleges,Stolen,Afternoon
2015,June,Wednesday,20,"Streets, Roads, Highways",Stolen,Evening
2015,June,Wednesday,18,"Single Home, House",Stolen,Evening
2015,February,Sunday,9,Apartment,Stolen,Morning
2015,June,Thursday,7,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,June,Friday,15,Other Non Commercial / Corporate Places,Stolen,Afternoon
2015,June,Saturday,13,Apartment,Stolen,Afternoon
2015,June,Friday,18,"Single Home, House",Stolen,Evening
2015,June,Saturday,11,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Morning
2015,June,Friday,19,Open Areas,Stolen,Evening
2015,June,Sunday,13,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Afternoon
2015,June,Tuesday,21,Apartment,Stolen,Evening
2015,June,Wednesday,21,"Single Home, House",Stolen,Evening
2015,June,Wednesday,18,Other Non Commercial / Corporate Places,Stolen,Evening
2015,June,Sunday,21,Private Property Structure,Stolen,Evening
2015,June,Sunday,21,Private Property Structure,Stolen,Evening
2015,June,Sunday,14,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Wednesday,17,Private Property Structure,Stolen,Afternoon
2015,June,Friday,8,Parking Lots,Stolen,Morning
2015,June,Friday,19,"Streets, Roads, Highways",Stolen,Evening
2015,June,Thursday,16,Parking Lots,Stolen,Afternoon
2015,June,Sunday,14,"Streets, Roads, Highways",Stolen,Afternoon
2015,June,Friday,15,Universities / Colleges,Stolen,Afternoon
2015,June,Monday,13,"Single Home, House",Stolen,Afternoon
2015,June,Monday,2,"Single Home, House",Stolen,Overnight
2015,June,Friday,20,"Single Home, House",Stolen,Evening
2015,June,Thursday,20,"Single Home, House",Stolen,Evening
2015,June,Sunday,21,"Single Home, House",Stolen,Evening
2015,June,Monday,10,"Streets, Roads, Highways",Stolen,Morning
2015,June,Monday,22,"Streets, Roads, Highways",Stolen,Evening
2015,June,Tuesday,18,"Single Home, House",Stolen,Evening
2015,June,Tuesday,1,"Single Home, House",Stolen,Overnight
2015,June,Monday,9,"Single Home, House",Stolen,Morning
2015,June,Monday,19,"Streets, Roads, Highways",Stolen,Evening
2015,June,Monday,22,Parking Lots,Stolen,Evening
2015,June,Monday,18,Apartment,Stolen,Evening
2015,June,Monday,1,Apartment,Stolen,Overnight
2015,June,Thursday,3,"Streets, Roads, Highways",Stolen,Overnight
2015,June,Tuesday,16,Apartment,Stolen,Afternoon
2015,June,Tuesday,18,Parking Lots,Stolen,Evening
2015,July,Wednesday,3,Apartment,Stolen,Overnight
2015,June,Tuesday,18,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Stolen,Evening
