Year,Month,Day of the Week,Hour,Location Type,Status,Day Part
2014,March,Sunday,23,"Single Home, House",Stolen,Evening
2014,March,Monday,12,"Streets, Roads, Highways",Stolen,Afternoon
2014,March,Tuesday,6,Hospital / Institutions / Medical Facilities,Stolen,Morning
2014,March,Thursday,7,Parking Lots,Unknown,Morning
2014,March,Thursday,6,Parking Lots,Stolen,Morning
2014,March,Thursday,4,"Streets, Roads, Highways",Stolen,Overnight
2014,March,Thursday,20,Convenience Stores,Stolen,Evening
2014,March,Friday,15,"Streets, Roads, Highways",Stolen,Afternoon
2014,March,Saturday,15,"Streets, Roads, Highways",Stolen,Afternoon
2014,March,Tuesday,18,"Single Home, House",Stolen,Evening
2014,March,Sunday,16,"Single Home, House",Stolen,Afternoon
2014,March,Tuesday,12,"Streets, Roads, Highways",Stolen,Afternoon
2014,March,Sunday,12,Parking Lots,Stolen,Afternoon
2014,March,Monday,16,"Streets, Roads, Highways",Stolen,Afternoon
2014,March,Sunday,17,Bar / Restaurant,Stolen,Afternoon
2014,March,Tuesday,7,Private Property Structure,Stolen,Morning
2014,April,Tuesday,12,Private Property Structure,Stolen,Afternoon
2014,January,Friday,21,Parking Lots,Stolen,Evening
2014,April,Tuesday,19,"Streets, Roads, Highways",Stolen,Evening
2014,March,Monday,10,Ttc Subway Station,Stolen,Morning
2014,April,Thursday,10,"Single Home, House",Stolen,Morning
2014,April,Wednesday,16,Apartment,Recovered,Afternoon
2014,April,Thursday,6,"Single Home, House",Stolen,Morning
2014,April,Thursday,9,Schools During Supervised Activity,Stolen,Morning
2014,January,Monday,18,Apartment,Stolen,Evening
2014,April,Tuesday,7,Apartment,Stolen,Morning
2014,April,Tuesday,7,Apartment,Stolen,Morning
2014,April,Tuesday,7,Apartment,Stolen,Morning
2014,April,Tuesday,7,Apartment,Stolen,Morning
2014,April,Tuesday,7,Apartment,Stolen,Morning
2014,April,Wednesday,22,Private Property Structure,Stolen,Evening
2014,April,Friday,6,"Single Home, House",Stolen,Morning
2014,April,Friday,22,Apartment,Stolen,Evening
2014,April,Friday,21,"Single Home, House",Stolen,Evening
